ApprovalOrderID,IssuedOn,PDFLink,OwnerName,SourceName,PhysicalStreet,PhysicalCity,PhysicalState,PhysicalZip,SourceContactName,SourceContactPhone,SourceContactEmail,UTM_Easting,UTM_Northing,UTM_Zone,UTM_Datum,SIC_Code,GeneralDescription,NSR_Classification,Source_Classification,Applicable_Federal_Standards,Project_Description,CO2e_TPY,CO_TPY,NOx_TPY,PM10_TPY,PM25_TPY,SO2_TPY,VOC_TPY,Total_HAPs_TPY
DAQE-AN121150007-23,2023-09-21,https://daqpermitting.utah.gov/DocViewer?IntDocID=139879&contentType=application/pdf,Albany Aerostructures Composites LLC,Albany Aerostructures Composites LLC.(Site ID: 12115),5995 West Amelia Earhart Drive <br />506 North Billy Mitchell Road,Salt Lake City,UT,84116,,(801) 505-6941,,412788,4514622,12,NAD83,3728,"Albany Aerostructures Composites LLC subsidiary of Albany Engineered Composites, Inc orporated (AEC) manufactures various aircraft parts with carbon fiber materials or aluminum metals. Aircraft parts are fabricated in two (2) separate buildings, located on e (1) mile apart, but all the emissions from both location s are accounted for. The manufacturing process involves the use of electrically or natural gas heated autoclaves, heated paint coating booths, and curing ovens. There are two (2) diesel fired emer gency generators, two (2) central vacuum systems with attached cyclones each, one (1) sand blasting booth with an attached HEPA filtration system, two (2) acetone bath hoods, and one (1) acetone recovery system.",Minor Modification at Minor Source,"Located in Northern Wasatch Front O3 NAA, Salt Lake City UT PM 2.5 NAA, Salt Lake County SO 2 NAA Salt Lake County Airs Source Size: B","NSPS (Part 60), A: General Provisions NSPS (Part 60), IIII: Standards of Performance for Stationary Compression Ignition Internal Combustion Engines MACT (Part 63), A: General Provisions DAQE -AN121150007 -23 Page 4 MACT (Part 63), ZZZZ: National Emissions Standards for Hazardous Air Pollutants for Stationary Reciprocating Internal Combustion Engines","AEC has requested to modify AO DAQ E-AN121150006 -18, dated October 4, 2018 , as follows: Amelia Earhart Facility : A. Add one (1) heated paint coating booth, for a total of seven (7) paint coating booths. B. Remove one (1) natural gas autoclave, for a total of one (1) natural gas autoc lave C. Remove one (1) local exhaust ventilation system (LEV), for a total of three (3) LEV systems . Billy Mitchell Road Facility : D. Add one (1) sand blasting room, for a total of two (2) sand blasting rooms E. Remove of one (1) router LEV syste m for total of zero (0) router LEV systems F. Rename one (1) resin room LEV system to one (1) winding room LEV system .",0.0,0.0,0.0,0.0,0.0,,3.39,0.0
DAQE-AN122220003-22,2022-05-09,https://daqpermitting.utah.gov/DocViewer?IntDocID=130725&contentType=application/pdf,"Balchem Corporation, Inc.","Albion Manufacturing Technologies, Inc.- Food Supplements Production Facility(Site ID: 12222)",1774 West 2800 South,Ogden,UT,84401,,(385) 278-9493,,414305,4563124,12,NAD83,2833,"Albion Manufacturing Technologies Facility (Albion) under the ownership of Balchem Corporation, Inc, operates a Food Supplements Production Facility. The plant produces nutritional supplements using feedstocks including magnesium, manganese, calcium, chromium, vanadium, zinc, and iron. Total production on site equates to 14,000 tons/year of product from the box dryer and tower dryer lines, and 1.2 million pounds/year of supplements from the granulation line.",Minor Modification at Minor Source,"Located in Northern Wasa tch Front O3 NAA, Salt Lake City UT PM 2.5 NAA Weber County Airs Source Size: B","MACT (Part 63), A: General Provisions MACT (Part 63), VVVVVV: National Emission Standards for Hazardous Air Pollutants for Chemical Manufacturing Area Sources","Albion requested a modification to AO DAQE -AN122220002 -21 dated September 14, 2021 to add a research and dev elopment (R&D) line. The new line will mimic the existing granulation line and tower dryer line. The line will function to test -run material prototype mixtures, before introducing the product into full production. The new R&D granulation line will include a mixing tank, a fluidized bed dryer and a wet scrubber (#2). The R&D Tower dryer process line will include a spray tower dryer, a wet process mixing tank, a cyclone separator, a baghouse (#3), and a liquefier. The liquefier and mixing tank are wet process es leading into the tower dryer. The tower dryer is controlled by the baghouse. All R&D tower  dryer emissions will vent through the new baghouse (#3). The maximum throughput of the R&D line was estimated at 0.6 tons per year (included in condition II.B.1.a ). The increase in emissions is below a hundredth of a ton for each pollutant, therefore, the",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAQE-AN162210001-24,2024-11-19,https://daqpermitting.utah.gov/DocViewer?IntDocID=150446&contentType=application/pdf,"Aligned Energy Data Centers (SLC), LLC","Aligned Data Centers (WJU) PropCo, LLC. - West Jordan Data Center(Site ID: 16221)",6800 West 9800 South,West Jordan,UT,84128,Michael Welch,(203) 981-6922,Michael.Welch@aligneddc.com,410705,4491561,12,NAD83,7376,"Aligned Data Centers (WJU) PropCo, LLC (Aligned) has requested to operate a data center power station in West Jordan, Salt Lake County. The data center will run on line power. A maximum of one hundred ninety -two (192) diese l-fueled emergency engines will be used to provide power in the event of an emergency. Each emergency engine will have a diesel fuel storage tank.",New Minor Source,"Located in Northern Wasatch Front O3 NAA, Salt Lake City UT PM 2.5 NAA, Salt Lake County SO 2 NAA Salt Lake County Airs Source Size: SM","NSPS (Part 60), A: General Provisi ons NSPS (Part 60), IIII: Standards of Performance for Stationary Compression Ignition Internal Combustion Engines MACT (Part 63), A: General Provisions MACT (Part 63), ZZZZ: National Emissio ns Standards for Hazardous Air Pollutants for Stationary Reciprocating Internal Combustion Engines DAQE -AN162210001 -24 Page 4",Aligned requested a new minor source (West Jordan Facility) to house a data center power station. The facility will require a maximum of one hundred ninety -two (192) diesel -fired engines. Each emergency engine will have a diesel fuel storage tank.,5780.0,14.25,24.34,0.81,0.81,0.06,0.71,0.16
DAQE-AN159390004-22,2022-09-09,https://daqpermitting.utah.gov/DocViewer?IntDocID=133004&contentType=application/pdf,"Aligned Energy Data Centers (SLC), LLC","Aligned Energy Data Centers (SLC), LLC- West Jordan Data Center(Site ID: 15939)",3333 West 9000 South,West Jordan,UT,84088,,(203) 981-6922,,417920,4493258,12,NAD83,7376,"Aligned Energy Data Centers (SLC), LLC (Aligned Energy) is a data center that houses servers to store, manage, and disseminate data. The servers require backup power contingencies to preserve services for customers in the case that local power is interrup ted. On-site emissions are from the operation of emergency generator engines. Aligned Energy employs ultra -low sulfur diesel (ULSD) and selective catalytic reduction (SCR).",Minor Modification at Minor Source,"Located in Northern Wasatch Front O3 NAA, Salt Lake City UT PM 2.5 NAA, Salt Lake County SO 2 NAA Salt Lake County Airs Source Size: B","NSPS (Part 60), A: Gen eral Provisions NSPS (Part 60), IIII: Standards of Performance for Stationary Compression Ignition Internal Combustion Engines MACT (Part 63), A: General Provisions MACT (Part 63), ZZZZ: National Emissions Standards for Hazardous Air Polluta nts for Stationary Reciprocating Internal Combustion Engines DAQE -AN159390004 -22 Page 4","Aligned Energy has requested to add nineteen diesel -fired 3,000 kW emergency generator engines (six in Building C and thirteen in Building B), forty -two diesel -fired 3,100 kW emergency generator engines, and sixty -one diesel storage tanks. Aligned Energy has also requested to remove twenty -nine diesel -fired 2,500 kW emergency generator engines and twenty -nine diesel storage tanks. Facility -wide PTE we re re- evaluated as part of this modification based on updated equipment list and operations. The following updates were made to the AO: 1) Added nineteen 3,000 kW and forty -two 3,100 kW emergency generator engines to equipment list and PTE. 2) Added sixt y-one diesel storage tanks to equipment list and PTE. 3) Removed twenty -nine emergency generator engines from equipment list and PTE previously listed as II.A.4 and II.A.5. 4) Removed twenty -nine diesel storage tanks from equipment list and PTE previously listed as II.A.6.",8760.0,10.06,23.13,0.52,0.52,0.1,-0.61,0.33
DAQE-AN160640001-21,2021-11-03,https://daqpermitting.utah.gov/DocViewer?IntDocID=126828&contentType=application/pdf,"Aligned Energy Data Centers (SLC), LLC","Aligned Energy Data Centers (WVC) PropCo, LLC - West Valley City Data Center(Site ID: 16064)",6368 W Beagley Road,West Valley City,UT,84128,,(203) 981-6922,,412218,4507632,12,NAD83,7376,,................................ ................................ ................................ .................. 3,"Located in Northern Wasatch Front O3 NAA, Salt Lake City UT PM 2.5 NAA, Salt Lake County SO 2 NAA Salt Lake County Airs Source Size: B","NSPS (Part 60), A: General Provisions NSPS (Part 60), IIII: Standards of Performance for Stationary Compression Ignition Internal Combustion Engines MACT (Part 63), A: General Provisions MACT (Part 63), ZZZZ: NESHAP for Stationary Reciprocating Internal Combustion Engines","Aligned has requested a new minor source to house a data center. The data center will require multiple emergency backup generators in order to ensure client servers are protected from power outages. The site will operate eight (8) 3,000 kW backup generator s and eight (8) associated diesel storage tanks with a 5,000 gallon capacity each.",1880.0,4.26,4.13,0.28,0.28,0.0,0.28,0.0
DAQE-AN119950004-24,2024-01-08,https://daqpermitting.utah.gov/DocViewer?IntDocID=141972&contentType=application/pdf,Allen Gravel LLC,Allen Gravel LLC- Cove Aggregate Processing Plant(Site ID: 11995),1015 East 12600 North,Cove,UT,84320,,(435) 770-1230,,434000,4645000,12,NAD83,1442,"Allen Gravel LLC (AG) operates an aggregate pit in Cove, Cache County. Aggregate is harvested by bulldozers or front -end loaders fro m the pit. Front -end loaders collect and take the aggregate to the crushing/screening area of the pit. Crushers, dry screens, and wash (wet) screens process the aggregate. The sized aggregate is stored on site. Sized aggregate and unprocessed aggregate are loaded into trucks and taken to customers off -site. The plant will produce up to 600,000 tons of sized aggregate and 200,000 tons of unprocessed aggregate per year.",Administrative Amendment,Located in Logan UT -ID PM 2.5 NAA Cache County Airs Source Size: B,"NSPS (Part 60), A: General Provisions NSPS (Part 60), OOO: Standards of Performance for Nonmetallic Min eral Processing Plants MACT (Part 63), A: General Provisions MACT (Part 63), ZZZZ: Nati onal Emissions Standards for Hazardous Air Pollutants for Stationary Reciprocating Internal Combustion Engines Title V (Part 70) Area Source DAQE -AN119950004 -24 Page 4","This administrative amendment will incorporate testing requirements for the 750 -kW diesel -fired generator engine. 40 CFR 63 Subpart ZZZZ requires this generator engine, manufactured before 2006, to have a stack test every 8,760 hours of operation or three (3) years, whichever is first, from the date of the previous stack test.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAQE-AN119550004-25,2025-11-26,https://daqpermitting.utah.gov/DocViewer?IntDocID=159693&contentType=application/pdf,Alta Ski Lifts,Alta Ski Lifts- Alta Ski Area(Site ID: 11955),Little Cottonwood Canyon,Alta,UT,84092,Coleman Worthen,(801) 799-2288,cworthen@alta.com,446000,4493100,12,NAD83,7999,"Alta Ski Lifts (Alta) operates and maintains a ski resort located in Alta, Salt Lake County. The facility consists of emergency generators, fuel tanks, boilers, and ski lifts.",Minor Modification at Minor Source,................................ ................................ ................................ .............. 3,................................ ................................ ................................ . 3,Alta is replacing the currently permitted 310 -hp emergency generator (SG -03) with a new Tier II 1073 -hp emergency diesel generator. The replacement will result in small increases in NO x and HAP e missions and decreases in all other criteria pollutants.,43.79,-0.08,0.13,-0.03,-0.03,-0.03,-0.04,0.01
,2020-04-13,https://daqpermitting.utah.gov/DocViewer?IntDocID=118222&contentType=application/pdf,Kinder Morgan Altamont LLC,Altamont Main Gas Processing Plant(Site ID: 10005),17790 West 3750 North <br />PO Box 587,Altamont,UT,84001,,,,,,,,,,,,,,,,,,,,,
DAQE-AN140220004-25,2025-08-29,https://daqpermitting.utah.gov/DocViewer?IntDocID=157454&contentType=application/pdf,"Kilgore Companies, LLC",Altaview Concrete- American Fork Concrete Batch Plant(Site ID: 14022),618 East 1700 South,American Fork,UT,84003,Bryan Jorgensen,(801) 250-0132,Bryan.Jorgensen@kilgorecompanies.com,433515,4466127,12,NAD83,3273,"Altaview Concrete (Altaview) ( a subsidiary of Kilgore Companies, LLC) operates the American Fork Concrete Batch Plant located in American Fork, Utah County. Altaview operates a truck mix concrete plant and produces up to 450,000 cubic yards of concrete per year. A natural gas -fired boile r is used to provide hot water for concrete operation during winter months. The source also contains various storage silos, bins, and tanks.",10-Year Review,"Located in Southern Wasatch Front O3 NAA, Provo UT PM 2.5 NAA Utah County Airs Source Size: B",None,"This is a 10 -Year Review for Altaview's American Fork Concrete Batc h Plant to update contact information, permit formatting, and rule applicability.",3628.0,1.46,4.19,8.18,2.41,0.38,0.54,0.01
,2022-03-21,https://daqpermitting.utah.gov/DocViewer?IntDocID=129415&contentType=application/pdf,"Alton Coal Development, LLC","Alton Coal Development, LLC-Coal Hollow Mine(Site ID: 14047)",County Road 136,Alton,UT,,,,,,,,,,,,,,,,,,,,,,
DAQE-AN159810004-25,2025-08-21,https://daqpermitting.utah.gov/DocViewer?IntDocID=157275&contentType=application/pdf,"Amazon Services, LLC","Amazon Services, LLC - Salt Lake Digital Printing Facility(Site ID: 15981)","770 South Gladiola, Suite 500",Salt Lake City,UT,84104,Vimal Vijaykumar,(484) 252-1748,vvvijayk@amazon.com,417858,4511865,12,NAD83,2759,"Amazon Services, LLC (Amazon Services) , owns and operates a digital printing plant located in Salt Lake City, Salt Lake County. Amazon Services prints on t -shirts, mugs, cell phone ring stand holders, and cell phone cases on an as -ordered basis. These items are packaged individually at the plan t and delivered to customers.",Administrative Amendment,"Located in Northern Wasatch Front O3 NAA, Salt Lake City UT PM 2.5 NAA, Salt Lake County SO 2 NAA Salt Lake County Airs Source Size: B",None DAQE -AN159810004 -25 Page 4,"Amazon Services has requested an update to AO DAQE -AN159810003 -24, dated October 7, 2024, with the following changes: - Add six (6) DTF apparel printers and increase the total hourly production rate from 360 units per hour (unit/hr) to 720 unit/hr. As there are twelve (12) Direct -To-Film (DTF) apparel printers total on -site, this corresponds to 6,307,200 units per year. - Reduce the white ink consumption from 2.37 grams per unit (g/unit) to 0.50 g/unit and reduce the combined colored ink consumption from 1.54 g/unit to 1.44 g/unit. - Increase the hourly and annual DTF cleanup solvent usage rates from 0.63 gallons per hour (gal/hr) and 230 gallons per year (gal/yr) to 2.52 gal/hr and 920 gal/yr, respectively. - Decrease the VOC concentration of the DTF apparel printer’s cleanup solvent to 1% from 6%. The above changes result in a site -wide net reduction in VOC and HAP emissions. Condition II.B.1.g of the 2024 AO limits VOC and ethylene glycol (HAP) emissions from evaporative sources (printing, coating, and/or cleaning) on -site. This condition will be updated to reflect the proposed operations. Additionally, conditions limiting annual DTF apparel production, DTF cleanup solvent usage, and solvent VOC and HAP contents will be added/updated. This project meets the requirements of UAC R307 -401-12 Reduction in Air P ollutants and does not require a public comment period.",0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.09
DAQE-AN143660003-25,2025-01-13,https://daqpermitting.utah.gov/DocViewer?IntDocID=151883&contentType=application/pdf,Amcor Masonry Products,Amcor Masonry Products- Concrete Masonry Products Manufacturing Plant(Site ID: 14366),333 South Redwood Road,North Salt Lake,UT,84054,Jay Seeley,(801) 936-7628,jay.seeley@oldcastle.com,421268,4521145,12,NAD83,3271,"Amcor Masonry Products (Amcor) is a facility consisting of a concrete paver plant, a concrete block plant, and a pre -packaged cement bagging plant. Operations include silo loading, material drying, mixing, and p ackaging materials. The plants will produce up to 300,000 tons of concrete paver, 120,000 tons of concrete blocks, and 627,000 tons of pre -packaged cement, concrete, and mortar/stucco materials per rolling 12 -month period.",Minor Modification at Minor Source,................................ ................................ ................................ .............. 3,................................ ................................ ................................ . 3,"Amcor has requested to make the following changes: 1. To increase dry ingredient throughput at the paver and block plants. The paver plant throughput will increase from 275,000 to 300,000 tpy; the block plant throughput will increase from 101,500 to 120,000 tpy. 2. To add a new wet processing line in the bagging plant. The site -wide emissions will be updated to reflect these changes.",0.0,0.45,0.0,3.01,1.21,0.0,0.0,0.0
