ApprovalOrderID,AppliedOn,IssuedOn,PDFLink,OwnerName,SourceName,PhysicalStreet,PhysicalCity,PhysicalState,PhysicalZip,SourceContactName,SourceContactPhone,SourceContactEmail,UTM_Easting,UTM_Northing,UTM_Zone,UTM_Datum,SIC_Code,GeneralDescription,NSR_Classification,Source_Classification,Applicable_Federal_Standards,Project_Description,Project_CO2e_TPY,Project_CO_TPY,Project_NOx_TPY,Project_PM10_TPY,Project_PM25_TPY,Project_SO2_TPY,Project_VOC_TPY,Project_Total_HAPs_TPY,Source_CO2e_TPY,Source_CO_TPY,Source_NOx_TPY,Source_PM10_TPY,Source_PM25_TPY,Source_SO2_TPY,Source_VOC_TPY,Source_Total_HAPs_TPY
DAQE-AN121150008-26,"November 20, 2024",2026-01-06,https://daqpermitting.utah.gov/DocViewer?IntDocID=160211&contentType=application/pdf,Albany Aerostructures Composites LLC,Albany Aerostructures Composites LLC.(Site ID: 12115),5995 West Amelia Earhart Drive <br />506 North Billy Mitchell Road,Salt Lake City,UT,84116,Wade Russell,(435) 830-8332,wade.russell@albint.us,412788,4514622,12,NAD83,3728,"Albany Aerostructures Composites LLC, subsidiary of Albany Engineered Composites, Inc. (AEC), manufactures various aircraft parts with carbon fiber materials or aluminum metals. Aircraft parts are fabricated in two (2) separate buildings, located one mile apart, but all the emissions from both locations are accounted for. The manufacturing process involves the use of electrically or natural gas heated autoclaves, heated paint coating booths, and curing ovens. There are three (3) diesel-fired emergency generators, two (2) central vacuum systems with attached cyclones each, two (2) sand blasting booths with attached HEPA filtration systems, two (2) acetone bath hoods, and one (1) acetone recovery system.",Minor Modification at Minor Source,"Located in Northern Wasatch Front O3 NAA, Salt Lake City UT PM2.5 NAA, Salt Lake County SO2 NAA Salt Lake County Airs Source Size: B","NSPS (Part 60), A: General Provisions NSPS (Part 60), IIII: Standards of Performance for Stationary Compression Ignition Internal Combustion Engines MACT (Part 63), A: General Provisions DAQE-AN121150008-26 Page 4 MACT (Part 63), ZZZZ: National Emissions Standards for Hazardous Air Pollutants for Stationary Reciprocating Internal Combustion Engines","AEC has requested to modify AO DAQE-AN121150007-23, dated September 20, 2023, as follows: Amelia Earhart Facility 1. Add one (1) natural gas-fired autoclave rated at 19.6 MMBtu/hr. 2. Add one (1) 1,754 kW diesel-fired emergency generator engine.",0.0,5.86,1.68,0.55,0.55,,7.43,0.0,6710.0,11.43,17.23,1.09,1.04,,24.54,0.71
DAQE-AN122220003-22,"September 28, 2021",2022-05-09,https://daqpermitting.utah.gov/DocViewer?IntDocID=130725&contentType=application/pdf,"Balchem Corporation, Inc.","Albion Manufacturing Technologies, Inc.- Food Supplements Production Facility(Site ID: 12222)",1774 West 2800 South,Ogden,UT,84401,,(385) 278-9493,,414305,4563124,12,NAD83,2833,"Albion Manufacturing Technologies Facility (Albion) under the ownership of Balchem Corporation, Inc, operates a Food Supplements Production Facility. The plant produces nutritional supplements using feedstocks including magnesium, manganese, calcium, chromium, vanadium, zinc, and iron. Total production on site equates to 14,000 tons/year of product from the box dryer and tower dryer lines, and 1.2 million pounds/year of supplements from the granulation line.",Minor Modification at Minor Source,"Located in Northern Wasatch Front O3 NAA, Salt Lake City UT PM2.5 NAA Weber County Airs Source Size: B","MACT (Part 63), A: General Provisions MACT (Part 63), VVVVVV: National Emission Standards for Hazardous Air Pollutants for Chemical Manufacturing Area Sources","Albion requested a modification to AO DAQE-AN122220002-21 dated September 14, 2021 to add a research and development (R&D) line. The new line will mimic the existing granulation line and tower dryer line. The line will function to test-run material prototype mixtures, before introducing the product into full production. The new R&D granulation line will include a mixing tank, a fluidized bed dryer and a wet scrubber (#2). The R&D Tower dryer process line will include a spray tower dryer, a wet process mixing tank, a cyclone separator, a baghouse (#3), and a liquefier. The liquefier and mixing tank are wet processes leading into the tower dryer. The tower dryer is controlled by the baghouse. All R&D tower  dryer emissions will vent through the new baghouse (#3). The maximum throughput of the R&D line was estimated at 0.6 tons per year (included in condition II.B.1.a). The increase in emissions is below a hundredth of a ton for each pollutant, therefore, the",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4058.46,8.95,12.54,1.27,0.26,0.09,0.87,0.01
DAQE-AN162210002-25,"July 25, 2025",2025-12-18,https://daqpermitting.utah.gov/DocViewer?IntDocID=160066&contentType=application/pdf,"Aligned Data Centers (WJU) PropCo, LLC","Aligned Data Centers (WJU) PropCo, LLC. - West Jordan Data Center(Site ID: 16221)",6800 West 9800 South,West Jordan,UT,84081,Michael Welch,(203) 981-6922,Michael.Welch@aligneddc.com,410705,4491561,12,NAD83,7376,"Aligned Data Centers (WJU) PropCo, LLC (Aligned) operates a data center power station in West Jordan, Salt Lake County. The data center runs on line power and natural gas-fired turbines. A maximum of one hundred nineteen (119) diesel-fueled emergency engines will be used to provide power in the event of an emergency. Each emergency engine will have a diesel fuel storage tank.",Minor Modification at Minor Source,"Located in Northern Wasatch Front O3 NAA, Salt Lake City UT PM2.5 NAA, Salt Lake County SO2 NAA Salt Lake County Airs Source Size: SM","NSPS (Part 60), A: General Provisions NSPS (Part 60), IIII: Standards of Performance for Stationary Compression Ignition Internal Combustion Engines NSPS (Part 60), KKKK: Standards of Performance for Stationary Combustion Turbines MACT (Part 63), A: General Provisions MACT (Part 63), ZZZZ: National Emissions Standards for Hazardous Air Pollutants for Stationary Reciprocating Internal Combustion Engines DAQE-AN162210002-25 Page 4 Title V (Part 70) Area Source","Aligned has requested a modification to AO DAQE-AN162210001-24, dated November 19, 2024, for the following changes: 1. Add twelve (12) simple cycle natural gas-fired turbines (turbines) to provide primary power for the data center buildings. 2. Reduce the quantity of 3,100-kilowatt (kW) diesel-fired emergency generators (Equipment ID# II.A.2 in 2024 AO) and the associated fuel storage tanks from one hundred eighty-two (182) to one hundred twelve (112). 3. Reduce the quantity of 1,000 kW diesel-fired emergency generators (Equipment ID# II.A.3 in 2024 AO) and associated fuel storage tanks from 10 to 7. The West Jordan Data Center has the potential to emit more than 50 tons per year of NOx and is located in Salt Lake County. Therefore, this project requires an emission offset of 1.2:1 under Utah Administrative Code Rule R307-421 (Permits: PM10 Offset Requirements in Salt Lake County and Utah County).",746067.0,22.98,37.96,41.65,41.65,8.88,23.75,5.48,751847.0,37.23,62.3,42.46,42.46,8.94,24.46,5.64
DAQE-AN159390004-22,"April 27, 2022",2022-09-09,https://daqpermitting.utah.gov/DocViewer?IntDocID=133004&contentType=application/pdf,"Aligned Data Centers (WJU) PropCo, LLC","Aligned Energy Data Centers (SLC), LLC- West Jordan Data Center(Site ID: 15939)",3333 West 9000 South,West Jordan,UT,84088,,(203) 981-6922,,417920,4493258,12,NAD83,7376,"Aligned Energy Data Centers (SLC), LLC (Aligned Energy) is a data center that houses servers to store, manage, and disseminate data. The servers require backup power contingencies to preserve services for customers in the case that local power is interrupted. On-site emissions are from the operation of emergency generator engines. Aligned Energy employs ultra-low sulfur diesel (ULSD) and selective catalytic reduction (SCR).",Minor Modification at Minor Source,"Located in Northern Wasatch Front O3 NAA, Salt Lake City UT PM2.5 NAA, Salt Lake County SO2 NAA Salt Lake County Airs Source Size: B","NSPS (Part 60), A: General Provisions NSPS (Part 60), IIII: Standards of Performance for Stationary Compression Ignition Internal Combustion Engines MACT (Part 63), A: General Provisions MACT (Part 63), ZZZZ: National Emissions Standards for Hazardous Air Pollutants for Stationary Reciprocating Internal Combustion Engines DAQE-AN159390004-22 Page 4","Aligned Energy has requested to add nineteen diesel-fired 3,000 kW emergency generator engines (six in Building C and thirteen in Building B), forty-two diesel-fired 3,100 kW emergency generator engines, and sixty-one diesel storage tanks. Aligned Energy has also requested to remove twenty-nine diesel-fired 2,500 kW emergency generator engines and twenty-nine diesel storage tanks. Facility-wide PTE were re- evaluated as part of this modification based on updated equipment list and operations. The following updates were made to the AO: 1) Added nineteen 3,000 kW and forty-two 3,100 kW emergency generator engines to equipment list and PTE. 2) Added sixty-one diesel storage tanks to equipment list and PTE. 3) Removed twenty-nine emergency generator engines from equipment list and PTE previously listed as II.A.4 and II.A.5. 4) Removed twenty-nine diesel storage tanks from equipment list and PTE previously listed as II.A.6.",8760.0,10.06,23.13,0.52,0.52,0.1,-0.61,0.33,22920.0,29.8,41.13,2.26,2.26,0.25,3.83,0.5
DAQE-AN160640001-21,"May 28, 2021",2021-11-03,https://daqpermitting.utah.gov/DocViewer?IntDocID=126828&contentType=application/pdf,"Aligned Data Centers (WJU) PropCo, LLC","Aligned Energy Data Centers (WVC) PropCo, LLC - West Valley City Data Center(Site ID: 16064)",6368 W Beagley Road,West Valley City,UT,84128,,(203) 981-6922,,412218,4507632,12,NAD83,7376,"Aligned Energy Data Centers (WVC) PropCo, LLC (Aligned) will operate a data center in West Valley City, Utah. The data center houses servers for various clients, and will operate emergency backup generators in the case of a loss of power. Diesel storage tanks will be attached to each emergency generator unit.",New Minor Source,"Located in Northern Wasatch Front O3 NAA, Salt Lake City UT PM2.5 NAA, Salt Lake County SO2 NAA Salt Lake County Airs Source Size: B","NSPS (Part 60), A: General Provisions NSPS (Part 60), IIII: Standards of Performance for Stationary Compression Ignition Internal Combustion Engines MACT (Part 63), A: General Provisions MACT (Part 63), ZZZZ: NESHAP for Stationary Reciprocating Internal Combustion Engines","Aligned has requested a new minor source to house a data center. The data center will require multiple emergency backup generators in order to ensure client servers are protected from power outages. The site will operate eight (8) 3,000 kW backup generators and eight (8) associated diesel storage tanks with a 5,000 gallon capacity each.",2.0,4.26,10.0,10.0,2.5,0.0,,,1880.0,4.13,0.28,0.28,0.28,0.28,,
DAQE-AN119950004-24,"September 11, 2023",2024-01-08,https://daqpermitting.utah.gov/DocViewer?IntDocID=141972&contentType=application/pdf,Allen Gravel LLC,Allen Gravel LLC- Cove Aggregate Processing Plant(Site ID: 11995),1015 East 12600 North,Cove,UT,84320,,(435) 770-1230,,434000,4645000,12,NAD83,1442,"Allen Gravel LLC (AG) operates an aggregate pit in Cove, Cache County. Aggregate is harvested by bulldozers or front-end loaders from the pit. Front-end loaders collect and take the aggregate to the crushing/screening area of the pit. Crushers, dry screens, and wash (wet) screens process the aggregate. The sized aggregate is stored on site. Sized aggregate and unprocessed aggregate are loaded into trucks and taken to customers off-site. The plant will produce up to 600,000 tons of sized aggregate and 200,000 tons of unprocessed aggregate per year.",Administrative Amendment,Located in Logan UT-ID PM2.5 NAA Cache County Airs Source Size: B,"NSPS (Part 60), A: General Provisions NSPS (Part 60), OOO: Standards of Performance for Nonmetallic Mineral Processing Plants MACT (Part 63), A: General Provisions MACT (Part 63), ZZZZ: National Emissions Standards for Hazardous Air Pollutants for Stationary Reciprocating Internal Combustion Engines Title V (Part 70) Area Source DAQE-AN119950004-24 Page 4","This administrative amendment will incorporate testing requirements for the 750-kW diesel-fired generator engine. 40 CFR 63 Subpart ZZZZ requires this generator engine, manufactured before 2006, to have a stack test every 8,760 hours of operation or three (3) years, whichever is first, from the date of the previous stack test.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1167.0,6.58,17.86,10.32,10.32,3.23,0.07,0.26
DAQE-AN119550004-25,"August 26, 2025",2025-11-26,https://daqpermitting.utah.gov/DocViewer?IntDocID=159693&contentType=application/pdf,Alta Ski Lifts,Alta Ski Lifts- Alta Ski Area(Site ID: 11955),Little Cottonwood Canyon,Alta,UT,84092,Coleman Worthen,(801) 799-2288,cworthen@alta.com,446000,4493100,12,NAD83,7999,"Alta Ski Lifts (Alta) operates and maintains a ski resort located in Alta, Salt Lake County. The facility consists of emergency generators, fuel tanks, boilers, and ski lifts.",Minor Modification at Minor Source,"Located in Northern Wasatch Front O3 NAA, Salt Lake City UT PM2.5 NAA, Salt Lake County SO2 NAA Salt Lake County Airs Source Size: B","NSPS (Part 60), A: General Provisions NSPS (Part 60), IIII: Standards of Performance for Stationary Compression Ignition Internal Combustion Engines MACT (Part 63), A: General Provisions MACT (Part 63), ZZZZ: National Emissions Standards for Hazardous Air Pollutants for Stationary Reciprocating Internal Combustion Engines MACT (Part 63), CCCCCC: National Emission Standards for Hazardous Air Pollutants for Source Category: Gasoline Dispensing Facilities DAQE-AN119550004-25 Page 4",Alta is replacing the currently permitted 310-hp emergency generator (SG-03) with a new Tier II 1073-hp emergency diesel generator. The replacement will result in small increases in NOx and HAP emissions and decreases in all other criteria pollutants.,43.79,-0.08,0.13,-0.03,-0.03,-0.03,-0.04,0.01,3158.05,4.02,10.53,1.02,0.94,0.42,0.66,0.12
,,2020-04-13,https://daqpermitting.utah.gov/DocViewer?IntDocID=118222&contentType=application/pdf,Kinder Morgan Altamont LLC,Altamont Main Gas Processing Plant(Site ID: 10005),17790 West 3750 North <br />PO Box 587,Altamont,UT,84001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAQE-AN140220004-25,"June 23, 2024",2025-08-29,https://daqpermitting.utah.gov/DocViewer?IntDocID=157454&contentType=application/pdf,"Kilgore Companies, LLC",Altaview Concrete- American Fork Concrete Batch Plant(Site ID: 14022),618 East 1700 South,American Fork,UT,84003,Bryan Jorgensen,(801) 250-0132,Bryan.Jorgensen@kilgorecompanies.com,433515,4466127,12,NAD83,3273,"Altaview Concrete (Altaview) (a subsidiary of Kilgore Companies, LLC) operates the American Fork Concrete Batch Plant located in American Fork, Utah County. Altaview operates a truck mix concrete plant and produces up to 450,000 cubic yards of concrete per year. A natural gas-fired boiler is used to provide hot water for concrete operation during winter months. The source also contains various storage silos, bins, and tanks.",10-Year Review,"Located in Southern Wasatch Front O3 NAA, Provo UT PM2.5 NAA Utah County Airs Source Size: B",None,"This is a 10-Year Review for Altaview's American Fork Concrete Batch Plant to update contact information, permit formatting, and rule applicability.",2.0,1.46,10.0,10.0,2.5,0.38,,,3628.0,4.19,8.18,8.18,2.41,0.54,,
,,2022-03-21,https://daqpermitting.utah.gov/DocViewer?IntDocID=129415&contentType=application/pdf,"Alton Coal Development, LLC","Alton Coal Development, LLC-Coal Hollow Mine(Site ID: 14047)",County Road 136,Alton,UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
